eth.src,eth.dst,ip.src,ip.dst,frame.len,frame.time_delta,frame.time_relative
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","124.189.41.173","10.0.0.8","54","0.100222000","40.493449000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","28.38.30.12","10.0.0.8","54","0.100237000","40.593686000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","64.71.39.154","10.0.0.8","54","0.100237000","40.693923000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","104.145.103.113","10.0.0.8","54","0.100236000","40.794159000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","62.190.30.218","10.0.0.8","54","0.100215000","40.894374000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","79.165.119.71","10.0.0.8","54","0.100234000","40.994608000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","36.190.133.181","10.0.0.8","54","0.100190000","41.094798000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","142.72.113.113","10.0.0.8","54","0.100212000","41.195010000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","174.199.102.52","10.0.0.8","54","0.100201000","41.295211000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","191.122.86.98","10.0.0.8","54","0.100182000","41.395393000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","225.60.183.191","10.0.0.8","54","0.100223000","41.495616000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","181.49.245.136","10.0.0.8","54","0.100240000","41.595856000"
"2a:4f:3a:d2:1d:b4","32:4a:68:ce:e6:a8","30.190.205.38","10.0.0.8","54","0.100431000","41.696287000"
